important nonlinear data::important nonlinear data
computation mechanism::computation mechanism
primary algorithm::primary algorithm
algorithm calls::algorithm calls
auxiliary functions::auxiliary functions
designated steps::designated steps
separate hooks::separate hooks
previsit hook::previsit hook
postvisit hook::postvisit hook
subtree traversals::subtree traversals
eulertour class::eulertour class
trivial definitions::trivial definitions
specialized behavior::specialized behavior
behavior python::behavior python
primary recursive::primary recursive
nonpublic tour::nonpublic tour
tour method::tour method
tour instance::tour instance
specific tree::specific tree
public execute::public execute
execute method::execute method
final result::final result
class eulertour::class eulertour
hook previsit::hook previsit
hook postvisit::hook postvisit
def init::def init
tour template::tour template
def tree::def tree
return reference::return reference
def execute::def execute
def tour::def tour
perform tour::perform tour
path list::path list
increment index::increment index
extraneous index::extraneous index
return answer::return answer
def hook::def hook
pass code::pass code
eulertour base::eulertour base
class providing::class providing
tour traversals::tour traversals
trees based::trees based
customizing traversals::customizing traversals
sample applications::sample applications
applications section::applications section
build support::build support
primary eulertour::primary eulertour
recursive depth::recursive depth
recursive path::recursive path
recursive level::recursive level
